Quarter,Inflation
2014 Q3,2.066666666666667
2014 Q4,1.9666666666666666
2015 Q1,1.0666666666666667
2015 Q2,0.9
2015 Q3,1.2
2015 Q4,1.3333333333333333
2016 Q1,1.5666666666666667
2016 Q2,1.5666666666666667
2016 Q3,1.2333333333333334
2016 Q4,1.4
2017 Q1,1.9000000000000001
2017 Q2,1.3
2017 Q3,1.4
2017 Q4,1.8
2018 Q1,2.0666666666666664
2018 Q2,2.3000000000000003
2018 Q3,2.6666666666666665
2018 Q4,2.033333333333333
2019 Q1,1.5999999999999999
2019 Q2,2.1333333333333333
2019 Q3,1.9333333333333333
2019 Q4,2.1
2020 Q1,1.8333333333333335
2020 Q2,0.03333333333333329
2020 Q3,0.23333333333333334
2020 Q4,0.7999999999999999
2021 Q1,1.4333333333333333
2021 Q2,3.3666666666666667
2021 Q3,4.066666666666666
2021 Q4,4.733333333333333
2022 Q1,5.833333333333333
2022 Q2,7.533333333333333
2022 Q3,7.166666666666667
2022 Q4,6.666666666666667
2023 Q1,5.133333333333334
2023 Q2,3.533333333333333
2023 Q3,3.6999999999999997
2023 Q4,3.2
